"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr11",68380056,68415977,"-","CT","AC",1,0
"chr11",68383141,68417588,"+","GT","AG",1,0
"chr11",68386713,68409913,"+","GT","AG",1,0
"chr11",68390053,68409913,"+","GT","AG",3,1
"chr11",68390053,68423488,"+","GT","AG",1,0
"chr11",68391930,68415712,"-","CT","AC",2,0
"chr11",68398847,68446435,"+","GT","AG",1,0
"chr11",68403700,68409913,"+","GT","AG",3,1
"chr11",68403700,68448808,"+","GT","AG",1,0
"chr11",68406600,68409955,"-","CT","AC",1,0
"chr11",68406814,68409913,"+","GT","AG",3318,1
"chr11",68409620,68450487,"+","GT","AG",1,0
"chr11",68410141,68410268,"+","GT","AG",1,0
"chr11",68410141,68411435,"+","GT","AG",2892,1
"chr11",68411512,68411553,"-","CT","AC",1,0
"chr11",68411621,68412779,"+","GT","AG",10,1
"chr11",68411621,68412915,"+","GT","AG",7,1
"chr11",68411621,68412958,"+","GT","AG",5,1
"chr11",68411621,68413079,"+","GT","AG",32,1
"chr11",68411621,68413136,"+","GT","AG",5,1
"chr11",68411621,68413688,"+","GT","AG",2854,1
"chr11",68411621,68413693,"+","GT","AG",2,0
"chr11",68411621,68416327,"+","GT","AG",4,1
"chr11",68411621,68423488,"+","GT","AG",5,1
"chr11",68412959,68413079,"+","GT","AG",1,0
