"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count"
"chr11",68386588,68410015,"-","CT","AC",1
"chr11",68390053,68423488,"+","GT","AG",1
"chr11",68390053,68429574,"+","GT","AG",1
"chr11",68403700,68409913,"+","GT","AG",2
"chr11",68406814,68409913,"+","GT","AG",1298
"chr11",68410141,68411435,"+","GT","AG",1161
"chr11",68411621,68412769,"+","GT","AG",1
"chr11",68411621,68412779,"+","GT","AG",2
"chr11",68411621,68412915,"+","GT","AG",4
"chr11",68411621,68412958,"+","GT","AG",3
"chr11",68411621,68413079,"+","GT","AG",22
"chr11",68411621,68413136,"+","GT","AG",3
"chr11",68411621,68413688,"+","GT","AG",1149
"chr11",68411621,68416327,"+","GT","AG",1
"chr11",68411621,68423488,"+","GT","AG",5
