"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count"
"chr11",68390053,68409913,"+","GT","AG",5
"chr11",68390053,68423488,"+","GT","AG",4
"chr11",68392942,68418220,"-","CT","AC",1
"chr11",68394548,68435807,"-","CT","AC",1
"chr11",68401832,68440911,"+","GT","AG",1
"chr11",68403700,68409913,"+","GT","AG",4
"chr11",68403700,68411435,"+","GT","AG",2
"chr11",68403700,68423488,"+","GT","AG",1
"chr11",68403700,68425101,"+","GT","AG",1
"chr11",68404417,68409913,"+","GT","AG",1
"chr11",68406808,68410015,"-","CT","AC",1
"chr11",68406814,68409913,"+","GT","AG",6996
"chr11",68406814,68409921,"+","GT","AG",1
"chr11",68406814,68411435,"+","GT","AG",1
"chr11",68406814,68413688,"+","GT","AG",4
"chr11",68406814,68429574,"+","GT","AG",1
"chr11",68410016,68411439,"-","CT","AC",1
"chr11",68410141,68411435,"+","GT","AG",7198
"chr11",68410410,68411435,"+","GT","AG",1
"chr11",68411182,68411435,"+","GT","AG",1
"chr11",68411621,68412298,"+","GT","AG",1
"chr11",68411621,68412769,"+","GT","AG",3
"chr11",68411621,68412779,"+","GT","AG",9
"chr11",68411621,68412915,"+","GT","AG",11
"chr11",68411621,68412958,"+","GT","AG",11
"chr11",68411621,68413079,"+","GT","AG",57
"chr11",68411621,68413087,"+","GT","AG",1
"chr11",68411621,68413136,"+","GT","AG",4
"chr11",68411621,68413688,"+","GT","AG",5374
"chr11",68411621,68413693,"+","GT","AG",3
"chr11",68411621,68416327,"+","GT","AG",1
"chr11",68411621,68418821,"+","GT","AG",2
"chr11",68411621,68423488,"+","GT","AG",6
"chr11",68411621,68425101,"+","GT","AG",1
"chr11",68411621,68429574,"+","GT","AG",1
"chr11",68412959,68413079,"+","GT","AG",1
