"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count"
"chr11",68386588,68410015,"-","CT","AC",1
"chr11",68386588,68411439,"-","CT","AC",1
"chr11",68390053,68423488,"+","GT","AG",2
"chr11",68403700,68409913,"+","GT","AG",1
"chr11",68404417,68409913,"+","GT","AG",2
"chr11",68406814,68409913,"+","GT","AG",4336
"chr11",68410141,68411435,"+","GT","AG",3916
"chr11",68411621,68412769,"+","GT","AG",1
"chr11",68411621,68412779,"+","GT","AG",1
"chr11",68411621,68412794,"+","GT","AG",1
"chr11",68411621,68412915,"+","GT","AG",8
"chr11",68411621,68412958,"+","GT","AG",7
"chr11",68411621,68413079,"+","GT","AG",56
"chr11",68411621,68413087,"+","GT","AG",3
"chr11",68411621,68413136,"+","GT","AG",11
"chr11",68411621,68413688,"+","GT","AG",3454
"chr11",68411621,68413693,"+","GT","AG",1
"chr11",68412695,68445144,"+","GC","AG",1
"chr11",68412959,68413079,"+","GT","AG",2
