"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr11",68386588,68410015,"-","CT","AC",1,0
"chr11",68386713,68411435,"+","GT","AG",1,0
"chr11",68401832,68440911,"+","GT","AG",1,0
"chr11",68403700,68409913,"+","GT","AG",1,0
"chr11",68403700,68411435,"+","GT","AG",1,0
"chr11",68406814,68409913,"+","GT","AG",1010,1
"chr11",68410088,68411523,"+","GT","AG",1,0
"chr11",68410141,68411435,"+","GT","AG",1051,1
"chr11",68411621,68412779,"+","GT","AG",1,0
"chr11",68411621,68413079,"+","GT","AG",12,1
"chr11",68411621,68413136,"+","GT","AG",1,0
"chr11",68411621,68413688,"+","GT","AG",812,1
"chr11",68411621,68416327,"+","GT","AG",1,0
"chr11",68411621,68423488,"+","GT","AG",2,0
"chr11",68411621,68425101,"+","GT","AG",2,0
