"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr5",1053483,1086902,"-","CT","AC",1,0
"chr5",1053483,1093532,"-","CT","AC",2,0
"chr5",1053483,1094153,"-","CT","AC",1,0
"chr5",1057650,1093532,"-","CT","AC",1,0
"chr5",1060452,1086902,"-","CT","AC",1,0
"chr5",1060452,1093532,"-","CT","AC",5,1
"chr5",1060452,1094153,"-","CT","AC",3,1
"chr5",1063976,1093532,"-","CT","AC",1,0
"chr5",1065479,1093532,"-","CT","AC",48,1
"chr5",1065479,1094153,"-","CT","AC",7,1
"chr5",1065479,1111270,"-","CT","AC",1,0
"chr5",1065479,1111867,"-","CT","AC",7,1
"chr5",1074672,1085231,"-","CT","AC",3,1
"chr5",1074672,1086902,"-","CT","AC",2,0
"chr5",1074672,1088981,"-","CT","AC",2,0
"chr5",1074672,1093532,"-","CT","AC",46,1
"chr5",1074672,1094153,"-","CT","AC",3,1
"chr5",1074672,1111867,"-","CT","AC",13,1
"chr5",1076813,1086902,"-","CT","AC",1,0
"chr5",1076813,1093532,"-","CT","AC",4,1
"chr5",1076813,1094153,"-","CT","AC",1,0
"chr5",1079497,1083744,"-","CT","AC",4,1
"chr5",1079497,1085231,"-","CT","AC",6,1
"chr5",1079497,1093532,"-","CT","AC",11,1
"chr5",1079497,1094153,"-","CT","AC",1,0
"chr5",1079497,1111867,"-","CT","AC",1,0
"chr5",1081743,1083744,"-","CT","AC",1,0
"chr5",1081745,1081908,"-","CT","AC",6,1
"chr5",1081745,1083744,"-","CT","AC",946,1
"chr5",1081745,1085231,"-","CT","AC",2,0
"chr5",1081745,1093532,"-","CT","AC",4,1
"chr5",1081934,1083744,"-","CT","AC",6,1
"chr5",1082016,1082801,"+","GT","AG",1,0
"chr5",1082016,1083041,"+","GT","AG",6,1
"chr5",1082032,1082104,"+","GC","AG",1,0
"chr5",1082058,1082087,"-","CT","GC",1,0
"chr5",1082106,1082167,"+","GT","AG",1,0
"chr5",1082122,1082394,"+","GC","AG",1,0
"chr5",1082148,1082208,"+","GT","AG",1,0
"chr5",1082148,1082571,"+","GT","AG",1,0
"chr5",1082148,1083173,"+","GT","AG",1,0
"chr5",1082301,1082450,"-","CT","GC",2,0
"chr5",1082349,1082530,"+","GT","AG",2,0
"chr5",1082500,1083011,"+","GT","AG",1,0
"chr5",1082511,1082571,"+","GT","AG",1,0
"chr5",1082511,1083173,"+","GT","AG",1,0
"chr5",1082682,1083041,"+","GT","AG",2,0
"chr5",1082784,1082963,"-","CT","GC",1,0
"chr5",1082832,1083011,"+","GT","AG",17,1
"chr5",1082862,1083041,"+","GT","AG",5,1
"chr5",1082922,1083041,"+","GT","AG",4,1
"chr5",1082934,1083264,"-","CT","GC",1,0
"chr5",1082952,1083041,"+","GT","AG",4,1
"chr5",1082964,1083264,"-","CT","GC",1,0
"chr5",1082982,1083041,"+","GT","AG",3,1
"chr5",1083918,1085231,"-","CT","AC",1,0
"chr5",1083957,1085231,"-","CT","AC",810,1
"chr5",1083957,1093532,"-","CT","AC",1,0
"chr5",1084544,1085231,"-","CT","AC",1,0
"chr5",1084832,1085231,"-","CT","AC",1,0
"chr5",1085441,1086902,"-","CT","AC",6,1
"chr5",1085474,1085846,"-","CT","AC",1,0
"chr5",1085474,1086902,"-","CT","AC",762,1
"chr5",1085474,1093532,"-","CT","AC",4,1
"chr5",1086305,1086902,"-","CT","AC",2,0
"chr5",1087034,1088305,"-","CT","AC",587,1
"chr5",1087034,1093532,"-","CT","AC",25,1
"chr5",1087034,1094153,"-","CT","AC",3,1
"chr5",1088361,1088981,"-","CT","AC",620,1
"chr5",1088361,1088983,"-","CT","AC",2,0
"chr5",1088361,1093532,"-","CT","AC",5,1
"chr5",1088383,1088981,"-","CT","AC",1,0
"chr5",1089129,1091261,"-","CT","AC",1,0
"chr5",1089129,1093532,"-","CT","AC",795,1
"chr5",1089129,1094153,"-","CT","AC",1,0
"chr5",1089129,1159167,"-","CT","AC",2,0
"chr5",1089320,1093532,"-","CT","AC",1,0
"chr5",1092186,1093532,"-","CT","AC",1,0
"chr5",1092755,1093532,"-","CT","AC",5,1
"chr5",1093653,1094153,"-","CT","AC",6,1
"chr5",1093656,1094153,"-","CT","AC",1064,1
"chr5",1094249,1096258,"-","CT","AC",7,1
"chr5",1094249,1103672,"-","CT","AC",4,1
"chr5",1094249,1103831,"-","CT","AC",6,1
"chr5",1094249,1105102,"-","CT","AC",9,1
"chr5",1094249,1105199,"-","CT","AC",9,1
"chr5",1094249,1105345,"-","CT","AC",10,1
"chr5",1094249,1105442,"-","CT","AC",112,1
"chr5",1094249,1106608,"-","CT","AC",4,1
"chr5",1094249,1106879,"-","CT","AC",4,1
"chr5",1094249,1107162,"-","CT","AC",1,0
"chr5",1094249,1107493,"-","CT","AC",12,1
"chr5",1094249,1107808,"-","CT","AC",1,0
"chr5",1094249,1108211,"-","CT","AC",1,0
"chr5",1094249,1108230,"-","CT","AC",4,1
"chr5",1094249,1108424,"-","CT","AC",2,0
"chr5",1094249,1110519,"-","CT","AC",6,1
"chr5",1094249,1110730,"-","CT","AC",8,1
"chr5",1094249,1110996,"-","CT","AC",2,0
"chr5",1094249,1111270,"-","CT","AC",2,0
"chr5",1094249,1111867,"-","CT","AC",1553,1
"chr5",1094249,1112123,"-","CT","AC",2,0
"chr5",1094249,1113001,"-","CT","AC",1,0
"chr5",1094249,1155673,"-","CT","AC",2,0
"chr5",1095049,1095080,"+","GC","AG",1,0
"chr5",1098984,1099666,"-","CT","AC",1,0
"chr5",1099374,1099453,"-","CT","AC",1,0
"chr5",1099410,1099489,"-","CT","AC",3,1
"chr5",1105232,1105280,"+","GT","AG",2,0
"chr5",1110681,1111270,"-","CT","AC",1,0
"chr5",1110869,1115267,"+","GT","AG",2,0
"chr5",1110869,1115950,"+","GT","AG",1,0
"chr5",1110869,1116709,"+","GT","AG",2,0
"chr5",1110869,1122528,"+","GT","AG",1,0
"chr5",1111887,1111928,"-","CT","GC",2,0
