"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count"
"chr5",1065479,1093532,"-","CT","AC",2
"chr5",1074672,1111867,"-","CT","AC",2
"chr5",1079497,1093532,"-","CT","AC",1
"chr5",1081745,1081908,"-","CT","AC",4
"chr5",1081745,1083744,"-","CT","AC",157
"chr5",1081745,1093532,"-","CT","AC",1
"chr5",1081934,1083744,"-","CT","AC",3
"chr5",1082058,1082087,"-","CT","GC",1
"chr5",1082148,1082208,"+","GT","AG",1
"chr5",1082148,1082238,"+","GT","AG",3
"chr5",1082148,1082571,"+","GT","AG",1
"chr5",1082148,1083173,"+","GT","AG",1
"chr5",1082301,1082420,"-","CT","GC",1
"chr5",1082335,1082364,"+","GC","AG",1
"chr5",1082511,1082571,"+","GT","AG",1
"chr5",1082511,1083173,"+","GT","AG",1
"chr5",1082742,1082801,"+","GT","AG",1
"chr5",1082934,1083264,"-","CT","GC",1
"chr5",1083957,1085231,"-","CT","AC",209
"chr5",1085474,1086902,"-","CT","AC",131
"chr5",1085474,1093532,"-","CT","AC",1
"chr5",1087034,1088305,"-","CT","AC",135
"chr5",1088361,1088981,"-","CT","AC",186
"chr5",1088361,1093532,"-","CT","AC",1
"chr5",1089129,1093532,"-","CT","AC",146
"chr5",1092755,1093532,"-","CT","AC",1
"chr5",1093656,1094153,"-","CT","AC",170
"chr5",1094249,1096258,"-","CT","AC",1
"chr5",1094249,1105442,"-","CT","AC",14
"chr5",1094249,1107493,"-","CT","AC",1
"chr5",1094249,1111867,"-","CT","AC",129
"chr5",1105183,1105280,"+","GT","AG",1
"chr5",1105232,1105280,"+","GT","AG",2
