"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr1",116380046,116400895,"-","CT","AC",1,0
"chr1",116390412,116390781,"+","GT","AG",841,1
"chr1",116390412,116392853,"+","GT","AG",3,1
"chr1",116390892,116392853,"+","GT","AG",886,1
"chr1",116392989,116393530,"+","GT","AG",980,1
"chr1",116393005,116393530,"+","GT","AG",4,1
"chr1",116393027,116400895,"-","CT","AC",1,0
"chr1",116393027,116405606,"-","CT","AC",1,0
"chr1",116393724,116395109,"+","GT","AG",781,1
"chr1",116393724,116396597,"+","GT","AG",75,1
"chr1",116395286,116396597,"+","GT","AG",1097,1
"chr1",116396735,116397887,"+","GT","AG",1226,1
"chr1",116396735,116398620,"+","GT","AG",1,0
"chr1",116398039,116398620,"+","GT","AG",1147,1
"chr1",116398651,116398725,"+","GT","AG",1,0
"chr1",116398790,116398929,"+","GT","AG",912,1
"chr1",116398790,116399419,"+","GT","AG",4,1
"chr1",116399085,116399419,"+","GT","AG",949,1
"chr1",116399315,116400895,"-","CT","AC",2,0
"chr1",116399544,116400860,"+","GT","AG",972,1
"chr1",116399711,116400860,"+","GT","AG",1,0
"chr1",116401007,116401129,"+","GT","AG",1162,1
"chr1",116401132,116405606,"-","CT","AC",2,0
"chr1",116401132,116418458,"-","CT","AC",2,0
"chr1",116401261,116401553,"+","GT","AG",1105,1
"chr1",116401265,116401560,"+","GT","AG",1,0
"chr1",116401656,116403883,"+","GT","AG",1053,1
"chr1",116401656,116410134,"+","GT","AG",1,0
"chr1",116403976,116404415,"+","GT","AG",868,1
"chr1",116406149,116411260,"-","CT","AC",1,0
"chr1",116406149,116418458,"-","CT","AC",13,1
"chr1",116406265,116418458,"-","CT","AC",2,0
"chr1",116406399,116410134,"+","GT","AG",1,0
"chr1",116411316,116418458,"-","CT","AC",1,0
"chr1",116413914,116418458,"-","CT","AC",5,1
