"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr1",116357818,116397969,"-","CT","AC",1,0
"chr1",116380046,116400895,"-","CT","AC",10,1
"chr1",116380046,116405606,"-","CT","AC",1,0
"chr1",116380046,116411260,"-","CT","AC",1,0
"chr1",116384843,116390781,"+","GT","AG",2,0
"chr1",116384843,116396597,"+","GT","AG",1,0
"chr1",116384843,116403883,"+","GT","AG",2,0
"chr1",116384843,116404993,"+","GT","AG",1,0
"chr1",116385846,116396037,"+","GC","AG",1,0
"chr1",116389020,116390781,"+","GT","AG",2,0
"chr1",116389020,116392853,"+","GT","AG",3,1
"chr1",116389020,116393530,"+","GT","AG",1,0
"chr1",116389708,116390781,"+","GT","AG",15,1
"chr1",116389708,116392853,"+","GT","AG",5,1
"chr1",116389785,116390781,"+","GT","AG",1,0
"chr1",116390277,116390846,"-","CT","AC",1,0
"chr1",116390412,116390781,"+","GT","AG",73611,1
"chr1",116390412,116392853,"+","GT","AG",437,1
"chr1",116390412,116393530,"+","GT","AG",2,0
"chr1",116390412,116396597,"+","GT","AG",1,0
"chr1",116390650,116390781,"+","GT","AG",2,0
"chr1",116390805,116390861,"+","GC","AG",1,0
"chr1",116390886,116392851,"-","CT","AC",2,0
"chr1",116390892,116392035,"+","GT","AG",2,0
"chr1",116390892,116392834,"+","GT","AG",2,0
"chr1",116390892,116392853,"+","GT","AG",66701,1
"chr1",116390892,116393530,"+","GT","AG",6,1
"chr1",116392982,116393530,"+","GT","AG",1,0
"chr1",116392989,116393369,"+","GT","AG",3,1
"chr1",116392989,116393530,"+","GT","AG",87088,1
"chr1",116392989,116393545,"+","GT","AG",1,0
"chr1",116392989,116396597,"+","GT","AG",2,0
"chr1",116393005,116393530,"+","GT","AG",142,1
"chr1",116393027,116397016,"-","CT","AC",1,0
"chr1",116393027,116398475,"-","CT","GC",1,0
"chr1",116393027,116400895,"-","CT","AC",84,1
"chr1",116393027,116402735,"-","CT","AC",1,0
"chr1",116393027,116405606,"-","CT","AC",12,1
"chr1",116393027,116418458,"-","CT","AC",14,1
"chr1",116393027,116428381,"-","CT","AC",2,0
"chr1",116393047,116393530,"+","GT","AG",18,1
"chr1",116393452,116393530,"+","GT","AG",1,0
"chr1",116393724,116394988,"+","GT","AG",1,0
"chr1",116393724,116395090,"+","GT","AG",118,1
"chr1",116393724,116395109,"+","GT","AG",55581,1
"chr1",116393724,116395133,"+","GT","AG",7,1
"chr1",116393724,116396597,"+","GT","AG",6721,1
