"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr1",116368931,116393609,"+","GT","AG",1,0
"chr1",116380046,116400895,"-","CT","AC",3,1
"chr1",116380046,116405606,"-","CT","AC",1,0
"chr1",116384843,116396597,"+","GT","AG",1,0
"chr1",116385982,116397451,"-","CT","GC",1,0
"chr1",116387492,116396597,"+","GT","AG",1,0
"chr1",116389700,116400895,"-","CT","AC",1,0
"chr1",116389708,116390781,"+","GT","AG",2,0
"chr1",116389708,116392853,"+","GT","AG",1,0
"chr1",116389785,116390781,"+","GT","AG",2,0
"chr1",116390409,116390781,"+","GT","AG",1,0
"chr1",116390412,116390781,"+","GT","AG",15720,1
"chr1",116390412,116392853,"+","GT","AG",85,1
"chr1",116390892,116392834,"+","GT","AG",1,0
"chr1",116390892,116392853,"+","GT","AG",15781,1
"chr1",116392989,116393369,"+","GT","AG",1,0
"chr1",116392989,116393530,"+","GT","AG",17453,1
"chr1",116392989,116393545,"+","GT","AG",1,0
"chr1",116392989,116395109,"+","GT","AG",1,0
"chr1",116392989,116396597,"+","GT","AG",1,0
"chr1",116393005,116393530,"+","GT","AG",40,1
"chr1",116393005,116393545,"+","GT","AG",1,0
"chr1",116393027,116400895,"-","CT","AC",42,1
"chr1",116393027,116405606,"-","CT","AC",6,1
"chr1",116393027,116418458,"-","CT","AC",4,1
"chr1",116393047,116393530,"+","GT","AG",1,0
"chr1",116393724,116395090,"+","GT","AG",16,1
"chr1",116393724,116395109,"+","GT","AG",13140,1
"chr1",116393724,116395133,"+","GT","AG",1,0
"chr1",116393724,116396597,"+","GT","AG",1458,1
"chr1",116395286,116396597,"+","GT","AG",17238,1
"chr1",116395289,116396597,"+","GT","AG",1,0
"chr1",116395520,116396597,"+","GT","AG",1,0
"chr1",116396335,116398475,"-","CT","GC",1,0
"chr1",116396735,116397887,"+","GT","AG",22755,1
"chr1",116396735,116397927,"+","GT","AG",1,0
"chr1",116396735,116398620,"+","GT","AG",18,1
"chr1",116398039,116398620,"+","GT","AG",21285,1
"chr1",116398039,116398666,"+","GT","AG",1,0
"chr1",116398790,116398929,"+","GT","AG",16745,1
"chr1",116398790,116399419,"+","GT","AG",56,1
"chr1",116398806,116398929,"+","GT","AG",2,0
"chr1",116399085,116399419,"+","GT","AG",17106,1
"chr1",116399309,116400895,"-","CT","AC",1,0
"chr1",116399315,116400895,"-","CT","AC",32,1
"chr1",116399544,116400746,"+","GT","AG",2,0
"chr1",116399544,116400860,"+","GT","AG",16220,1
"chr1",116399544,116400871,"+","GT","AG",1,0
"chr1",116399544,116401129,"+","GT","AG",5,1
"chr1",116399711,116400860,"+","GT","AG",9,1
"chr1",116401007,116401129,"+","GT","AG",19622,1
"chr1",116401090,116401553,"+","GT","AG",10,1
"chr1",116401132,116402735,"-","CT","AC",3,1
"chr1",116401132,116405606,"-","CT","AC",14,1
"chr1",116401132,116411260,"-","CT","AC",1,0
"chr1",116401132,116418458,"-","CT","AC",54,1
"chr1",116401261,116401553,"+","GT","AG",18958,1
"chr1",116401261,116404415,"+","GT","AG",1,0
"chr1",116401265,116401560,"+","GT","AG",2,0
"chr1",116401656,116403186,"+","GT","AG",1,0
"chr1",116401656,116403883,"+","GT","AG",18518,1
"chr1",116401656,116403942,"+","GT","AG",1,0
"chr1",116401656,116404415,"+","GT","AG",22,1
"chr1",116401656,116410134,"+","GT","AG",12,1
"chr1",116403530,116418458,"-","CT","AC",4,1
"chr1",116403976,116404384,"+","GT","AG",4,1
"chr1",116403976,116404415,"+","GT","AG",14696,1
"chr1",116403976,116404429,"+","GT","AG",1,0
"chr1",116403976,116404521,"+","GT","AG",3,1
"chr1",116403976,116410134,"+","GT","AG",1,0
"chr1",116404547,116404807,"+","GT","AG",1,0
"chr1",116406149,116406927,"-","CT","AC",16,1
"chr1",116406149,116411260,"-","CT","AC",12,1
"chr1",116406149,116417659,"-","CT","AC",1,0
"chr1",116406149,116418458,"-","CT","AC",136,1
"chr1",116406265,116418458,"-","CT","AC",3,1
"chr1",116406399,116410134,"+","GT","AG",11,1
"chr1",116407196,116418458,"-","CT","AC",5,1
"chr1",116407251,116418458,"-","CT","AC",2,0
"chr1",116407680,116407803,"+","GT","AG",1,0
"chr1",116407747,116411260,"-","CT","AC",1,0
"chr1",116407747,116418458,"-","CT","AC",1,0
"chr1",116408136,116418458,"-","CT","AC",1,0
"chr1",116409686,116418458,"-","CT","AC",1,0
"chr1",116410158,116411260,"-","CT","AC",1,0
"chr1",116410158,116418458,"-","CT","AC",1,0
"chr1",116410198,116421492,"+","GT","AG",2,0
"chr1",116410661,116411260,"-","CT","AC",1,0
"chr1",116411316,116411619,"-","CT","AC",1,0
"chr1",116411316,116418458,"-","CT","AC",9,1
"chr1",116411565,116418458,"-","CT","AC",1,0
"chr1",116413914,116416148,"-","CT","AC",1,0
"chr1",116413914,116417659,"-","CT","AC",3,1
"chr1",116413914,116418458,"-","CT","AC",112,1
