"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr1",116380046,116420620,"-","CT","AC",1,0
"chr1",116389020,116393530,"+","GT","AG",1,0
"chr1",116389020,116396597,"+","GT","AG",1,0
"chr1",116389588,116418527,"-","CT","AC",1,0
"chr1",116389708,116390781,"+","GT","AG",3,1
"chr1",116390412,116390781,"+","GT","AG",6145,1
"chr1",116390412,116392853,"+","GT","AG",50,1
"chr1",116390412,116393530,"+","GT","AG",1,0
"chr1",116390892,116392797,"+","GT","AG",1,0
"chr1",116390892,116392853,"+","GT","AG",6108,1
"chr1",116392989,116393530,"+","GT","AG",6304,1
"chr1",116392989,116393545,"+","GT","AG",1,0
"chr1",116393005,116393530,"+","GT","AG",11,1
"chr1",116393027,116400895,"-","CT","AC",22,1
"chr1",116393027,116405606,"-","CT","AC",2,0
"chr1",116393047,116393530,"+","GT","AG",3,1
"chr1",116393724,116395090,"+","GT","AG",3,1
"chr1",116393724,116395109,"+","GT","AG",4879,1
"chr1",116393724,116396597,"+","GT","AG",445,1
"chr1",116393737,116396611,"-","CT","AC",1,0
"chr1",116395286,116396597,"+","GT","AG",6388,1
"chr1",116395520,116396597,"+","GT","AG",13,1
"chr1",116396735,116397887,"+","GT","AG",7059,1
"chr1",116396735,116398620,"+","GT","AG",10,1
"chr1",116397132,116405606,"-","CT","AC",1,0
"chr1",116398039,116398620,"+","GT","AG",6983,1
"chr1",116398039,116398666,"+","GT","AG",1,0
"chr1",116398790,116398929,"+","GT","AG",6161,1
"chr1",116398790,116399419,"+","GT","AG",12,1
"chr1",116399085,116399260,"+","GT","AG",1,0
"chr1",116399085,116399419,"+","GT","AG",6696,1
"chr1",116399315,116400895,"-","CT","AC",10,1
"chr1",116399544,116400860,"+","GT","AG",6076,1
"chr1",116399711,116400860,"+","GT","AG",25,1
"chr1",116400055,116400860,"+","GT","AG",1,0
"chr1",116401007,116401129,"+","GT","AG",7733,1
"chr1",116401090,116401553,"+","GT","AG",3,1
"chr1",116401132,116402735,"-","CT","AC",8,1
"chr1",116401132,116405441,"-","CT","AC",1,0
"chr1",116401132,116405606,"-","CT","AC",5,1
"chr1",116401132,116418458,"-","CT","AC",19,1
"chr1",116401261,116401553,"+","GT","AG",7028,1
"chr1",116401261,116404415,"+","GT","AG",1,0
"chr1",116401656,116403883,"+","GT","AG",6789,1
"chr1",116401656,116404415,"+","GT","AG",12,1
"chr1",116401656,116410134,"+","GT","AG",7,1
"chr1",116403530,116405606,"-","CT","AC",3,1
"chr1",116403530,116418458,"-","CT","AC",3,1
"chr1",116403976,116404384,"+","GT","AG",1,0
"chr1",116403976,116404415,"+","GT","AG",4339,1
"chr1",116403976,116404444,"+","GT","AG",1,0
"chr1",116403976,116410134,"+","GT","AG",1,0
"chr1",116406149,116406927,"-","CT","AC",4,1
"chr1",116406149,116411260,"-","CT","AC",7,1
"chr1",116406149,116417659,"-","CT","AC",1,0
"chr1",116406149,116418458,"-","CT","AC",74,1
"chr1",116406265,116418458,"-","CT","AC",2,0
"chr1",116406399,116410134,"+","GT","AG",1,0
"chr1",116407196,116418458,"-","CT","AC",2,0
"chr1",116411316,116418458,"-","CT","AC",7,1
"chr1",116413914,116418458,"-","CT","AC",14,1
"chr1",116416387,116418458,"-","CT","AC",1,0
