"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count"
"chr19",43769033,43769718,"-","CT","AC",19
"chr19",43769561,43769718,"-","CT","AC",318
"chr19",43769607,43769718,"-","CT","AC",2
"chr19",43769621,43769718,"-","CT","AC",1
"chr19",43769830,43771999,"-","CT","AC",245
"chr19",43769830,43774191,"-","CT","AC",1
"chr19",43772104,43772280,"-","CT","AC",3
"chr19",43772104,43773478,"-","CT","AC",2
"chr19",43772104,43773785,"-","CT","AC",1
"chr19",43772104,43774191,"-","CT","AC",18
"chr19",43772104,43780702,"-","CT","AC",2
"chr19",43772104,43784497,"-","CT","GC",1
"chr19",43772132,43773478,"-","CT","AC",2
"chr19",43772132,43774191,"-","CT","AC",19
"chr19",43772136,43773478,"-","CT","AC",5
"chr19",43772136,43773785,"-","CT","AC",3
"chr19",43772136,43774191,"-","CT","AC",213
"chr19",43772136,43780702,"-","CT","AC",1
"chr19",43773642,43773785,"-","CT","AC",1
"chr19",43773642,43774191,"-","CT","AC",1
"chr19",43773892,43774191,"-","CT","AC",1
"chr19",43773900,43774191,"-","CT","AC",3
"chr19",43774620,43776540,"-","CT","AC",250
"chr19",43774620,43780702,"-","CT","AC",13
"chr19",43774620,43782788,"-","CT","AC",1
"chr19",43776424,43776540,"-","CT","AC",14
"chr19",43776438,43776540,"-","CT","AC",1
"chr19",43776637,43779271,"-","CT","AC",1
"chr19",43776637,43779721,"-","CT","AC",1
"chr19",43776637,43780702,"-","CT","AC",230
"chr19",43776637,43780911,"-","CT","AC",2
