"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr19",43685431,43853831,"-","CT","AC",3,1
"chr19",43726508,43775112,"+","GT","AG",1,0
"chr19",43757670,43791212,"-","CT","AC",1,0
"chr19",43760508,43840934,"-","CT","AC",2,0
"chr19",43767090,43781226,"-","CT","AC",1,0
"chr19",43769033,43769718,"-","CT","AC",118,1
"chr19",43769555,43769718,"-","CT","AC",6,1
"chr19",43769561,43769718,"-","CT","AC",9952,1
"chr19",43769607,43769718,"-","CT","AC",113,1
"chr19",43769621,43769718,"-","CT","AC",7,1
"chr19",43769814,43771999,"-","CT","AC",1,0
"chr19",43769814,43772058,"-","CT","AC",1,0
"chr19",43769816,43771985,"+","GT","AG",2,0
"chr19",43769830,43771999,"-","CT","AC",7231,1
"chr19",43769830,43774191,"-","CT","AC",2,0
"chr19",43769830,43780702,"-","CT","AC",7,1
"chr19",43770666,43771999,"-","CT","AC",1,0
"chr19",43771418,43775484,"+","GT","AG",1,0
"chr19",43771571,43771999,"-","CT","AC",2,0
"chr19",43772104,43772280,"-","CT","AC",12,1
"chr19",43772104,43773478,"-","CT","AC",59,1
"chr19",43772104,43773513,"-","CT","AC",4,1
"chr19",43772104,43773785,"-","CT","AC",20,1
"chr19",43772104,43774191,"-","CT","AC",960,1
"chr19",43772104,43774296,"-","CT","AC",5,1
"chr19",43772104,43776540,"-","CT","AC",1,0
"chr19",43772104,43780702,"-","CT","AC",63,1
"chr19",43772104,43780911,"-","CT","AC",1,0
"chr19",43772132,43772280,"-","CT","AC",3,1
"chr19",43772132,43773478,"-","CT","AC",9,1
"chr19",43772132,43773785,"-","CT","AC",1,0
"chr19",43772132,43774191,"-","CT","AC",262,1
"chr19",43772132,43774296,"-","CT","AC",1,0
"chr19",43772132,43780702,"-","CT","AC",22,1
"chr19",43772132,43784493,"-","CT","AC",1,0
"chr19",43772136,43772280,"-","CT","AC",3,1
"chr19",43772136,43773478,"-","CT","AC",82,1
"chr19",43772136,43773513,"-","CT","AC",2,0
"chr19",43772136,43773785,"-","CT","AC",13,1
"chr19",43772136,43774191,"-","CT","AC",6532,1
"chr19",43772136,43774296,"-","CT","AC",11,1
"chr19",43772136,43779721,"-","CT","AC",3,1
"chr19",43772136,43780702,"-","CT","AC",11,1
"chr19",43772436,43774191,"-","CT","AC",2,0
"chr19",43773642,43773785,"-","CT","AC",45,1
"chr19",43773642,43774191,"-","CT","AC",56,1
"chr19",43773642,43776540,"-","CT","AC",1,0
"chr19",43773847,43774191,"-","CT","AC",1,0
"chr19",43773892,43774191,"-","CT","AC",4,1
"chr19",43773892,43776540,"-","CT","AC",1,0
"chr19",43773900,43774191,"-","CT","AC",30,1
"chr19",43774257,43774406,"+","GC","AG",5,1
"chr19",43774451,43776562,"+","GC","AG",1,0
"chr19",43774458,43776540,"-","CT","AC",1,0
"chr19",43774579,43776562,"+","GC","AG",3,1
"chr19",43774602,43776522,"+","GT","AG",1,0
"chr19",43774620,43774961,"-","CT","AC",1,0
"chr19",43774620,43776540,"-","CT","AC",6769,1
"chr19",43774620,43776546,"-","CT","AC",1,0
"chr19",43774620,43780702,"-","CT","AC",679,1
"chr19",43774620,43780911,"-","CT","AC",4,1
"chr19",43774620,43781226,"-","CT","AC",3,1
"chr19",43774620,43781236,"-","CT","AC",9,1
"chr19",43774626,43774971,"+","GT","AG",1,0
"chr19",43775099,43793508,"+","GT","AG",1,0
"chr19",43775159,43776540,"-","CT","AC",4,1
"chr19",43776424,43776540,"-","CT","AC",357,1
"chr19",43776424,43779271,"-","CT","AC",1,0
"chr19",43776424,43780702,"-","CT","AC",2,0
"chr19",43776424,43781236,"-","CT","AC",2,0
"chr19",43776438,43776540,"-","CT","AC",3,1
"chr19",43776625,43780774,"+","GT","AG",1,0
"chr19",43776637,43777251,"-","CT","AC",5,1
"chr19",43776637,43777400,"-","CT","AC",12,1
"chr19",43776637,43777467,"-","CT","AC",15,1
"chr19",43776637,43779271,"-","CT","AC",10,1
"chr19",43776637,43779721,"-","CT","AC",46,1
"chr19",43776637,43779822,"-","CT","AC",1,0
"chr19",43776637,43780702,"-","CT","AC",6436,1
"chr19",43776637,43780911,"-","CT","AC",16,1
"chr19",43776637,43781226,"-","CT","AC",26,1
"chr19",43776637,43781236,"-","CT","AC",17,1
"chr19",43776639,43780706,"+","GT","AG",1,0
