"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr19",43748053,43780702,"-","CT","AC",1,0
"chr19",43769033,43769718,"-","CT","AC",90,1
"chr19",43769033,43769731,"-","CT","AC",1,0
"chr19",43769530,43769718,"-","CT","AC",1,0
"chr19",43769555,43769718,"-","CT","AC",1,0
"chr19",43769561,43769718,"-","CT","AC",5707,1
"chr19",43769607,43769718,"-","CT","AC",70,1
"chr19",43769621,43769718,"-","CT","AC",2,0
"chr19",43769643,43769718,"-","CT","AC",1,0
"chr19",43769814,43772015,"-","CT","AC",1,0
"chr19",43769821,43772017,"+","GC","AG",1,0
"chr19",43769830,43770951,"-","CT","AC",1,0
"chr19",43769830,43771999,"-","CT","AC",4618,1
"chr19",43769830,43774191,"-","CT","AC",1,0
"chr19",43769830,43780702,"-","CT","AC",3,1
"chr19",43771571,43771999,"-","CT","AC",1,0
"chr19",43772104,43772280,"-","CT","AC",5,1
"chr19",43772104,43773478,"-","CT","AC",42,1
"chr19",43772104,43773785,"-","CT","AC",15,1
"chr19",43772104,43774191,"-","CT","AC",701,1
"chr19",43772104,43774296,"-","CT","AC",3,1
"chr19",43772104,43780702,"-","CT","AC",61,1
"chr19",43772104,43780911,"-","CT","AC",1,0
"chr19",43772104,43781226,"-","CT","AC",1,0
"chr19",43772111,43774226,"+","GT","AG",1,0
"chr19",43772132,43772280,"-","CT","AC",1,0
"chr19",43772132,43773478,"-","CT","AC",10,1
"chr19",43772132,43774191,"-","CT","AC",162,1
"chr19",43772132,43774296,"-","CT","AC",1,0
"chr19",43772132,43780702,"-","CT","AC",20,1
"chr19",43772132,43781226,"-","CT","AC",1,0
"chr19",43772136,43772280,"-","CT","AC",5,1
"chr19",43772136,43773478,"-","CT","AC",60,1
"chr19",43772136,43773513,"-","CT","AC",1,0
"chr19",43772136,43773785,"-","CT","AC",10,1
"chr19",43772136,43774191,"-","CT","AC",4050,1
"chr19",43772136,43774296,"-","CT","AC",5,1
"chr19",43772136,43779721,"-","CT","AC",1,0
"chr19",43772136,43780702,"-","CT","AC",18,1
"chr19",43772136,43781236,"-","CT","AC",1,0
"chr19",43773642,43773785,"-","CT","AC",26,1
"chr19",43773642,43774191,"-","CT","AC",26,1
"chr19",43773892,43774191,"-","CT","AC",5,1
"chr19",43773892,43780925,"-","CT","AC",1,0
"chr19",43773900,43774191,"-","CT","AC",26,1
"chr19",43774257,43774391,"+","GC","AG",1,0
"chr19",43774257,43774406,"+","GC","AG",4,1
"chr19",43774363,43774497,"-","CT","AC",1,0
"chr19",43774392,43774424,"+","GT","AG",1,0
"chr19",43774620,43775063,"-","CT","AC",1,0
"chr19",43774620,43776176,"-","CT","AC",1,0
"chr19",43774620,43776540,"-","CT","AC",4082,1
"chr19",43774620,43776546,"-","CT","AC",1,0
"chr19",43774620,43779271,"-","CT","AC",1,0
"chr19",43774620,43780702,"-","CT","AC",491,1
"chr19",43774620,43780911,"-","CT","AC",1,0
"chr19",43774620,43781226,"-","CT","AC",6,1
"chr19",43774620,43781236,"-","CT","AC",11,1
"chr19",43775159,43776540,"-","CT","AC",3,1
"chr19",43775162,43776540,"-","CT","AC",3,1
"chr19",43776424,43776540,"-","CT","AC",359,1
"chr19",43776424,43780702,"-","CT","AC",4,1
"chr19",43776424,43781236,"-","CT","AC",1,0
"chr19",43776438,43776540,"-","CT","AC",1,0
"chr19",43776637,43777251,"-","CT","AC",6,1
"chr19",43776637,43777400,"-","CT","AC",4,1
"chr19",43776637,43777467,"-","CT","AC",7,1
"chr19",43776637,43779271,"-","CT","AC",2,0
"chr19",43776637,43779721,"-","CT","AC",23,1
"chr19",43776637,43779850,"-","CT","AC",1,0
"chr19",43776637,43780702,"-","CT","AC",3884,1
"chr19",43776637,43780911,"-","CT","AC",8,1
"chr19",43776637,43781226,"-","CT","AC",19,1
"chr19",43776637,43781236,"-","CT","AC",17,1
