"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count"
"chr19",43653091,43791835,"+","GT","AG",6
"chr19",43653091,43809669,"+","GT","AG",6
"chr19",43745784,43776879,"-","CT","AC",1
"chr19",43747780,43784139,"-","CT","AC",1
"chr19",43753556,43841527,"+","GT","AG",4
"chr19",43760508,43840934,"-","CT","AC",10
"chr19",43760524,43840950,"-","CT","AC",3
"chr19",43764687,43792211,"+","GT","AG",1
"chr19",43767090,43769718,"-","CT","AC",2
"chr19",43767090,43781226,"-","CT","AC",4
"chr19",43767090,43781236,"-","CT","AC",8
"chr19",43767090,43781324,"-","CT","AC",1
"chr19",43767708,43771999,"-","CT","AC",1
"chr19",43769033,43769718,"-","CT","AC",1414
"chr19",43769033,43769731,"-","CT","AC",6
"chr19",43769033,43780702,"-","CT","AC",3
"chr19",43769033,43781226,"-","CT","AC",1
"chr19",43769033,43781236,"-","CT","AC",1
"chr19",43769499,43769718,"-","CT","AC",3
"chr19",43769555,43769718,"-","CT","AC",33
"chr19",43769561,43769718,"-","CT","AC",49635
"chr19",43769561,43780702,"-","CT","AC",1
"chr19",43769607,43769718,"-","CT","AC",680
"chr19",43769621,43769718,"-","CT","AC",30
"chr19",43769643,43769718,"-","CT","AC",10
"chr19",43769670,43769718,"-","CT","AC",1
"chr19",43769761,43814666,"-","CT","AC",1
"chr19",43769814,43771999,"-","CT","AC",3
"chr19",43769814,43772023,"-","CT","AC",1
"chr19",43769814,43772058,"-","CT","AC",1
"chr19",43769830,43770042,"-","CT","AC",1
"chr19",43769830,43770494,"-","CT","AC",3
"chr19",43769830,43770951,"-","CT","AC",5
"chr19",43769830,43771999,"-","CT","AC",55097
"chr19",43769830,43774191,"-","CT","AC",18
"chr19",43769830,43776540,"-","CT","AC",2
"chr19",43769830,43780702,"-","CT","AC",21
"chr19",43769850,43772010,"+","GT","AG",1
"chr19",43769861,43771999,"-","CT","AC",2
"chr19",43770985,43771999,"-","CT","AC",1
